Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",3,15,2,4,3,1,0.4,0.066666666,0.666666667,0.5,0.555555555,0.733333333,1.222222222,0.74790385166804,0.6722807884216309,391.17442533118805,0.15684820665046573,5.197329440061864,-0.2913239551708102,0.5587988559547776,"Mike Trout",10155,545361
"Shea Langeliers","ATH",2,9,3,3,6,0,0.111111111,0.222222222,1.125,0.666666666,0.625,0.666666666,1.75,0.9846023983425565,0.8120224475860596,549.7641251084607,-0.03095726203173399,4.640526429214143,-0.09063364565372467,0.4996481389235704,"Shea Langeliers",25816,669127
"Chase DeLauter","CLE",3,14,4,5,5,0,0,0.357142857,0.857142857,0.2,0.357142857,0.357142857,1.214285714,0.6678698446069445,0.4259999990463257,339.38222519956224,0.04330993490293622,3.9109624763913957,-0.2779821967706084,0.42474733529571107,"Chase DeLauter",32127,800050
"Andrés Giménez","TOR",2,9,0,0,4,1,0.111111111,0,0.25,0.75,0.75,0.777777777,1,0.7666786975330777,0.452355768945482,405.69046400682146,0.18235707748681307,3.3574169309886503,0.29598696157336235,0.4079119813817044,"Andres Gimenez",19950,665926
"Sal Stewart","CIN",2,9,1,1,2,0,0.111111111,0,0.625,0.571428571,0.625,0.666666666,1.25,0.803209039900038,0.7559002488851547,412.4308963168629,0.007706644479185343,3.3536151502870117,-0.1496728085912764,0.3561533365967766,"Sal Stewart",31505,701398
"Jake Burger","TEX",2,9,2,2,4,0,0,0.444444444,0.666666667,1,0.555555555,0.555555555,1.222222222,0.7721910145547655,0.4507777690887451,410.2345975091012,-0.02303094428498298,3.199226638785936,-0.2563752196729183,0.33520237582988777,"Jake Burger",22275,669394
"Luke Raley","SEA",3,10,3,3,5,0,0.1,0.3,1,0,0.333333333,0.4,1.333333333,0.7041717410087586,0.8791202068328857,369.37587211266106,-0.00989466265309602,3.098858281733702,-0.22973014041781425,0.3314434537133063,"Luke Raley",19354,670042
"Munetaka Murakami","CHW",2,8,2,2,2,0,0.375,0.125,1.2,0,0.4,0.625,1.6,0.7943227738142014,0.7114507555961609,423.53434235537645,-0.01403576647862792,2.9729825778721892,-0.09322292357683182,0.3249612512872967,"Munetaka Murakami",37120,808959
"Chase Meidroth","CHW",2,8,1,1,1,0,0.25,0.125,0.666666666,0.5,0.5,0.625,1.166666666,0.7170863822102547,0.5880504995584488,371.24291575275066,-0.028692306485027075,2.4755474574616443,-0.001546839252114296,0.2834406309738081,"Chase Meidroth",31580,805367
"Ramón Laureano","SDP",3,12,1,1,2,1,0,0.166666666,0.333333334,0.444444444,0.416666666,0.416666666,0.75,0.5111207515001297,0.635666678349177,229.15255713492493,0.16567963967099786,2.0098533734847153,0.19372117146849632,0.2632205832086038,"Ramon Laureano",17128,657656
"Nolan Schanuel","LAA",3,15,2,2,4,0,0.133333333,0.266666666,0.461538462,0.285714285,0.307692307,0.4,0.769230769,0.4975208838780721,0.414026935895284,221.6574099600597,-0.008553032297641039,2.0974419949498153,-0.09853167459368706,0.26132083622608987,"Nolan Schanuel",33189,694384
"Michael Busch","CHC",2,10,0,3,1,0,0.2,0,0.25,0.5,0.5,0.6,0.75,0.5830273032188416,0.34824039936065676,274.44544773028167,-0.02841171174077317,2.04734866436153,0.14290912449359894,0.25556913399323067,"Michael Busch",26319,683737
"Corey Seager","TEX",2,9,1,2,1,0,0.111111111,0.333333333,0.375,0.75,0.5,0.555555555,0.875,0.6167900893423293,0.41002244419521755,305.0233634525505,-0.08513111434876919,2.0443479730773366,0.1114275585860014,0.25466226168739553,"Corey Seager",13624,608369
"Giancarlo Stanton","NYY",3,12,1,2,2,0,0,0.25,0.25,0.625,0.5,0.5,0.75,0.5549451559782028,0.48883333802223206,262.8716594039444,-0.08126275381073356,2.1742967219128286,-0.3024691343307495,0.23696151985925704,"Giancarlo Stanton",4949,519317
"Brice Turang","MIL",2,10,0,2,0,0,0.1,0.1,0.333333333,0.625,0.555555555,0.6,0.888888888,0.6412611246109009,0.5169202089309692,311.65820954206237,-0.40038508689031005,2.118177193528001,-0.142183568328619,0.23364385274316468,"Brice Turang",22186,668930
"Alec Burleson","STL",2,9,1,3,4,1,0.111111111,0,0.428571429,0.428571428,0.571428571,0.555555555,1,0.6049547120928764,0.591624990105629,289.1949890174907,0.20409519271925092,2.2302364305814346,-0.2966686636209488,0.2261581037553456,"Alec Burleson",27615,676475
"Brandon Lowe","PIT",2,9,2,2,3,0,0,0.111111111,0.666666667,0.166666666,0.333333333,0.333333333,1,0.5700016617774963,0.27655555142296684,262.2611072914396,-0.002850764663890004,1.7348481167476708,0.15893924422562122,0.22208744361960606,"Brandon Lowe",18882,664040
"Pete Crow-Armstrong","CHC",2,10,0,2,2,2,0.1,0.3,0,0.666666666,0.444444444,0.5,0.444444444,0.4350881457328796,0.22882019877433776,177.30466583653723,0.3658087636868004,1.285672046559148,0.5033253282308578,0.21450884988976818,"Pete Crow-Armstrong",27769,691718
"Michael Harris II","ATL",2,8,1,2,3,0,0,0.25,0.375,0.6,0.5,0.5,0.875,0.6049547120928764,0.3033750057220459,286.6077344673355,-0.08799055544659495,1.6883948813596195,0.15604127198457718,0.21389303560759734,"Michael Harris II",25931,671739
"Jonathan Aranda","TBR",2,11,1,2,2,0,0.272727272,0.181818181,0.428571429,0.4,0.428571428,0.545454545,0.857142857,0.5512913573871959,0.49623688784512604,258.36143548446364,-0.07069250429049134,1.9396480376312577,-0.28876786306500435,0.21056729988248493,"Jonathan Aranda",21837,666018
"Oswald Peraza","LAA",3,12,1,2,2,0,0.083333333,0.416666666,0.272727273,0.6,0.363636363,0.416666666,0.636363636,0.46259256700674695,0.3005168338616689,198.00985884975088,-0.0932890959084034,1.2640192697822008,0.3187044281512499,0.20737801890004656,"Oswald Peraza",22823,672724
"David Hamilton","MIL",2,9,0,3,1,3,0.444444444,0,0,0.25,0.25,0.625,0.25,0.46946806460618973,0.4608509987592697,198.85432140068133,0.5753681529313326,1.6340263032922075,0.08684303052723408,0.20439304100057515,"David Hamilton",27531,666152
"Garrett Mitchell","MIL",2,9,0,2,3,2,0.333333333,0.111111111,0,0.5,0.4,0.625,0.4,0.49426543712615967,0.3873257488012314,215.1369351213179,0.37486776802688837,1.6079009126245944,0.09690948063507676,0.20274975739055082,"Garrett Mitchell",27555,669003
"Kevin McGonigle","DET",3,13,0,2,4,0,0.076923076,0.23076923,0.166666667,0.555555555,0.416666666,0.461538461,0.583333333,0.4637424624883212,0.4514770754254781,199.7277584099624,0.13099856860935688,1.6271891821611273,-0.15207206457853317,0.20015187704173945,"Kevin McGonigle",33572,805808
"Joey Ortiz","MIL",2,7,0,2,3,2,0,0.142857142,0,0.666666666,0.571428571,0.571428571,0.571428571,0.5199154785701207,0.3605714270046779,231.97943391484895,0.3500148169696331,1.4493291187283377,0.2719923220574856,0.19815053572632252,"Joey Ortiz",25493,687401
"Dillon Dingler","DET",3,10,1,1,4,0,0,0.2,0.333333333,0.333333333,0.333333333,0.4,0.666666666,0.46732553243637087,0.4252686908468604,202.1536076153639,0.05321271391585469,1.2321242695921506,0.2975941358599812,0.1943839722450354,"Dillon Dingler",27464,693307
"Christian Yelich","MIL",2,10,0,3,2,1,0.1,0.2,0,0.714285714,0.555555555,0.6,0.555555555,0.5260733544826508,0.3719201922416687,236.02285886814167,0.20452856738120317,1.8230910713406083,-0.23417509580031037,0.194034866389173,"Christian Yelich",11477,592885
"Owen Caissie","MIA",2,8,0,1,2,1,0,0.25,0.25,0.666666666,0.5,0.5,0.75,0.550915852189064,0.40699999779462814,250.2647909181965,0.2546595809981227,1.6850836039559656,-0.08041573688387871,0.1893579616051682,"Owen Caissie",27496,683357
"Cody Bellinger","NYY",3,13,0,2,0,0,0.153846153,0.153846153,0.181818182,0.444444444,0.363636363,0.461538461,0.545454545,0.4455290161646329,0.39303107445056623,188.79354770832288,0.12367547256872058,1.4558228580441233,-0.0962175470776856,0.1883317536736919,"Cody Bellinger",15998,641355
"Brayan Rocchio","CLE",3,11,0,3,2,0,0.181818181,0.09090909,0.142857143,0.333333333,0.285714285,0.545454545,0.428571428,0.4648680957880887,0.5578777909278869,201.94376091968203,0.013970662374049425,1.308109446515855,0.12280999030917883,0.18805909805972584,"Brayan Rocchio",23690,677587
"Will Smith","LAD",3,11,2,2,5,0,0,0.09090909,0.545454546,0.125,0.272727272,0.272727272,0.818181818,0.4663649959997697,0.4814545647664504,196.5742782507701,-0.02551748463883996,1.2385542869497954,0.2570239380002022,0.18762816011841418,"Will Smith",19197,669257
"Colt Keith","DET",3,11,0,2,0,0,0.181818181,0.181818181,0.111111111,0.571428571,0.444444444,0.545454545,0.555555555,0.49511943622068927,0.41458217122338037,220.97094034616777,0.06651277793571353,1.602194650408746,-0.1868925942108035,0.1864609985138379,"Colt Keith",27899,690993
"Luis Robert Jr.","NYM",2,10,1,2,5,0,0.2,0.1,0.375,0.333333333,0.375,0.5,0.75,0.5352731823921204,0.41214039325714114,244.57937811844226,-0.05317542515695095,1.6672027687400457,-0.17836440354585648,0.1837940976286146,"Luis Robert Jr.",20043,673357
"Austin Riley","ATL",2,8,0,1,0,0,0.125,0.25,0,0.8,0.571428571,0.625,0.571428571,0.5438601821660995,0.3422752395272255,246.49144269325913,-0.0009491299279034138,1.3935550483680317,0.10626936703920364,0.17862951254602982,"Austin Riley",18360,663586
"Francisco Alvarez","NYM",2,8,1,2,1,0,0.125,0.125,0.5,0.25,0.333333333,0.5,0.833333333,0.5593595430254936,0.5504861325025558,260.39512254109525,-0.01931448286632076,1.5075437721253762,-0.025625756941735744,0.17679718158419272,"Francisco Alvarez",26121,682626
"Junior Caminero","TBR",2,10,0,2,0,0,0.5,0.1,0,0.5,0.4,0.7,0.4,0.5377069711685181,0.5126009941101074,249.164385749952,-0.05367554537951946,1.6677675065203612,-0.3351292032748461,0.1742171062794588,"Junior Caminero",28163,691406
"Victor Scott II","STL",2,8,0,2,0,2,0,0.125,0,0.6,0.5,0.5,0.5,0.4549260437488556,0.32900000860293704,190.68217877116774,0.3793045113743574,1.242540444262001,0.1757546365261078,0.17028675675730584,"Victor Scott II",31349,687363
"Brendan Donovan","SEA",3,13,1,2,1,1,0.153846153,0.23076923,0.363636364,0.428571428,0.363636363,0.461538461,0.727272727,0.5112725496292114,0.4038003132893489,238.77715176521775,-0.2034407751634717,1.8785981190931373,-0.7378862705081701,0.16593276429240927,"Brendan Donovan",24679,680977
"Wilyer Abreu","BOS",2,9,1,1,2,0,0,0.111111111,0.444444444,0.285714285,0.333333333,0.333333333,0.777777777,0.4793049825562371,0.32462499290704727,206.26766194293924,0.03374564973637462,1.1374967538369014,0.14314663782715797,0.16511150353408896,"Wilyer Abreu",23772,677800
"Elly De La Cruz","CIN",2,10,1,1,1,0,0.2,0.4,0.375,0.333333333,0.25,0.4,0.625,0.44428797364234923,0.4980505108833313,176.75378684220075,0.048936324659734964,0.9622445910306561,0.29001015797257423,0.15958490540700485,"Elly De La Cruz",26668,682829
"JJ Wetherholt","STL",2,10,1,2,4,1,0,0.1,0.333333333,0.25,0.333333333,0.3,0.666666666,0.39297856092453004,0.36055556270811295,150.0058154596131,0.16784308198839426,0.7628720245965102,0.46062304824590683,0.15664197749163133,"JJ Wetherholt",34985,802139
"Adley Rutschman","BAL",2,8,0,0,0,0,0.25,0.125,0.166666667,0.4,0.333333333,0.5,0.5,0.45332620292901993,0.3694254904985428,194.39272711693923,-0.04417497990652919,0.8273022345954657,0.3687475696206093,0.15267013467385118,"Adley Rutschman",26288,668939
"Matt McLain","CIN",2,10,0,1,1,0,0.3,0.1,0.142857143,0.5,0.428571428,0.6,0.571428571,0.5247934818267822,0.5376605987548828,229.6158427352197,-0.4405391567852348,1.1017850136962435,0.03415113811206538,0.14768222455455335,"Matt McLain",29695,680574
"Roman Anthony","BOS",2,11,0,1,1,0,0.181818181,0.272727272,0,0.666666666,0.444444444,0.545454545,0.444444444,0.46021405133334076,0.36484040021896363,193.3425108828417,0.00852078665047884,1.193469845355864,-0.19239583238959312,0.14407375934811897,"Roman Anthony",31812,701350
"Manny Machado","SDP",3,12,0,1,0,0,0.333333333,0.166666666,0.125,0.333333333,0.25,0.5,0.375,0.42079631984233856,0.4689006706078847,169.843135177601,-0.016846520360559225,0.9804459703113291,0.02151662763208151,0.1402617111222841,"Manny Machado",11493,592518
"Yordan Alvarez","HOU",3,14,1,2,1,0,0.142857142,0.214285714,0.363636364,0.285714285,0.272727272,0.428571428,0.636363636,0.42143454651037854,0.4379739270855983,171.9207959774467,-0.011234492936637253,1.1507759659274288,-0.32401973847299814,0.13759128201700455,"Yordan Alvarez",19556,670541
"Marcelo Mayer","BOS",2,7,0,2,0,0,0,0.428571428,0.285714286,0.75,0.428571428,0.428571428,0.714285714,0.4996392471449716,0.31571429116385324,220.03458815710806,0.029342958237975836,0.9990308278476208,0.07687226450070739,0.13659067608865916,"Marcelo Mayer",29668,691785
"Carlos Narváez","BOS",2,7,0,1,0,0,0,0.142857142,0,0.6,0.5,0.5,0.5,0.4549260437488556,0.47816667954126996,189.76236615137674,-0.058382493909448385,0.6667541432948597,0.34180433116853237,0.12969941782776875,"Carlos Narvaez",19722,665966
"Randy Arozarena","SEA",3,13,0,4,0,1,0.307692307,0.076923076,0.111111111,0.25,0.222222222,0.461538461,0.333333333,0.38842737216215867,0.4379083009866568,155.6071661197895,0.17267218488268554,1.0069325886172973,-0.24956191331148148,0.12670612510332138,"Randy Arozarena",19290,668227
"Carson Benge","NYM",2,8,1,2,1,1,0.25,0.5,0.5,0,0.166666666,0.375,0.666666666,0.44162845611572266,0.399425508454442,183.08976248656913,0.20511229615658522,0.9960733163423005,-0.02589484490454197,0.12443175923836423,"Carson Benge",35177,701807
"Ernie Clement","TOR",2,10,0,1,1,0,0,0,0.2,0.4,0.4,0.4,0.6,0.44073268175125124,0.2967999935150146,185.01492742721328,-0.06846425961703062,0.9126570408298228,-0.07803101371973753,0.12325637148389021,"Ernie Clement",20352,676391
"Vladimir Guerrero Jr.","TOR",2,10,0,1,1,0,0.4,0,0,0.333333333,0.333333333,0.6,0.333333333,0.439347055223253,0.3754006624221802,184.07681540019095,-0.10867625894024968,0.8616186875971092,-0.027970872819423676,0.12315627270794838,"Vladimir Guerrero Jr.",19611,665489
"Geraldo Perdomo","ARI",3,12,1,1,2,1,0,0.166666666,0.333333333,0.333333333,0.333333333,0.333333333,0.666666666,0.43529974420865375,0.36283333599567413,174.7006623659921,-0.2159808522555977,0.8506724335166025,-0.025375474244356155,0.1221838218990019,"Geraldo Perdomo",22799,672695
"Gleyber Torres","DET",3,14,0,3,0,0,0.357142857,0.214285714,0,0.333333333,0.222222222,0.5,0.222222222,0.3840764079775129,0.3396435763154711,145.79137485213906,-0.09440545877441764,0.6454369717881765,0.029368292540311813,0.12204240279281735,"Gleyber Torres",16997,650402
"Alec Bohm","PHI",2,9,1,2,3,0,0.111111111,0,0.375,0.142857142,0.25,0.333333333,0.625,0.4146007365650601,0.34380022684733075,160.49045343753235,-0.03620365168899298,0.6116052720211168,0.28777654003351927,0.12033164384107885,"Alec Bohm",21618,664761
"Nick Gonzales","PIT",2,10,0,1,3,0,0,0.4,0.1,0.666666666,0.4,0.4,0.5,0.40233675837516786,0.2903999924659729,152.16787646993234,0.06537751527503133,0.6861332431580223,0.1411136146634817,0.11609458304666621,"Nick Gonzales",27490,693304
"Mookie Betts","LAD",3,13,1,3,4,0,0.076923076,0.076923076,0.272727273,0.111111111,0.181818181,0.307692307,0.454545454,0.34422125724645763,0.3289914681361272,116.37145374132356,0.011299157980829477,0.2645484117897714,0.4699498638510704,0.11603693395827416,"Mookie Betts",13611,605141
"Ryan O'Hearn","PIT",2,10,1,2,1,0,0.1,0.1,0.333333333,0.285714285,0.333333333,0.4,0.666666666,0.4641258716583252,0.29152019023895265,192.7402501325078,-0.19388795224949718,0.9096463560376391,-0.12493203883059323,0.11174230173493864,"Ryan O'Hearn",16442,656811
"Byron Buxton","MIN",2,8,0,2,0,0,0,0.25,0.25,0.5,0.375,0.375,0.625,0.4323848634958267,0.21262500435113907,177.9839586611724,-0.05788122210651636,0.6621026701448739,0.10388326714746654,0.10866244306125093,"Byron Buxton",14161,621439
"Bobby Witt Jr.","KCR",2,8,0,0,0,1,0,0.25,0,0.5,0.375,0.375,0.375,0.3411945328116417,0.5046250075101852,113.95725623040245,0.0924495873041451,0.22130941743377985,0.5174382701516151,0.10587520008326126,"Bobby Witt Jr.",25764,677951
"Jorge Polanco","NYM",2,10,0,2,1,0,0.5,0.1,0,0.25,0.2,0.6,0.2,0.44672176241874695,0.462401008605957,186.43416274616277,-0.036562466993927956,0.9919344786384225,-0.27730241045355797,0.10457090641510686,"Jorge Polanco",13152,593871
"Carlos Correa","HOU",3,13,0,1,2,0,0.076923076,0.153846153,0,0.4,0.333333333,0.384615384,0.333333333,0.33468318902529204,0.25032323140364426,113.18744310577071,-0.06230983743444085,0.13553807277819974,0.4011532608419657,0.10412438978191166,"Carlos Correa",14162,621043
"Royce Lewis","MIN",2,7,1,2,2,1,0.142857142,0.142857142,0.6,0,0.2,0.428571428,0.8,0.5092891795294625,0.41641271114349365,230.05055982917045,0.21209406200796366,1.262694994942661,-0.5221260115504265,0.10227651675301133,"Royce Lewis",20437,668904
"Connor Norby","MIA",2,8,0,0,0,0,0,0.125,0.166666667,0.4,0.333333333,0.5,0.5,0.46132535487413406,0.4716717451810837,191.43728975274252,0.02262507425621152,0.8930491773162798,-0.14345881808549166,0.10185935927170647,"Connor Norby",29592,681393
"TJ Rumfield","COL",2,8,1,1,1,0,0.125,0.125,0.428571429,0.2,0.285714285,0.375,0.714285714,0.4664258286356926,0.3887752592563629,182.62329574306696,-0.08965677488595247,0.6968637823560536,0.04861524701118469,0.10143865399821544,"TJ Rumfield",29805,681198
"Christian Walker","HOU",3,12,0,1,1,0,0.166666666,0.083333333,0.2,0.333333333,0.3,0.416666666,0.5,0.41003507872422534,0.3852003316084544,164.20300361726902,0.013145626056939363,0.9022732601021428,-0.35702837631106377,0.10121460639582816,"Christian Walker",13419,572233
"Kazuma Okamoto","TOR",2,10,0,2,0,0,0.2,0.3,0,0.6,0.375,0.5,0.375,0.41525024771690366,0.32124040126800535,167.76253122781281,-0.06374734966084361,0.7182713471935737,-0.16270065680146217,0.09470112156489924,"Kazuma Okamoto",37123,672960
"Bryson Stott","PHI",2,7,0,0,0,1,0.142857142,0.142857142,0,0.4,0.333333333,0.428571428,0.333333333,0.36159675461905344,0.39760029315948486,125.68663045235972,0.17548660398460925,0.38944175883463095,0.2835171492770314,0.09087341113052251,"Bryson Stott",26294,681082
"Brandon Marsh","PHI",2,8,0,0,2,0,0,0.25,0.25,0.5,0.375,0.375,0.625,0.43718434125185013,0.30137498676776886,175.31944837392834,-0.020052265841513872,0.6969403689045237,-0.10277563147246838,0.08595492423571628,"Brandon Marsh",20202,669016
